nform,cuest_id,time,parcela,cultivo,nombre_parcela,provparcela_cod,munparcela_cod,superf_parcela_has,superficie_parcela,descanso_sino,temporary_crop,month_siembra,year_siembra,mixto_sino,since_siembra,month_harvest,year_harvest,age,female_head,transporte,tiempo_cant,tiempo_um
658,H1284,2,11,MAIZ GRANO/MAZORCA,ZONA I,Independencia,JimanÌ,3.1439996,50,No,Temporero,Septiembre,2019,No,2003,,,49,0,Motor,5,Minutos
658,H1284,2,11,AJ√ç,ZONA I,Independencia,JimanÌ,3.1439996,50,No,Temporero,Diciembre,2019,No,2003,,,49,0,Motor,5,Minutos
658,H1284,2,11,LIMON,ZONA I,Independencia,JimanÌ,3.1439996,50,No,Permanente,Marzo,2014,No,2014,,,49,0,Motor,5,Minutos
658,H1284,2,11,LECHOZA,ZONA I,Independencia,JimanÌ,3.1439996,50,No,Temporero,Septiembre,2019,S√≠,2003,,,49,0,Motor,5,Minutos
214,H1285,2,11,LIMON,ZONA 3,Independencia,JimanÌ,1.8863997,30,No,Permanente,No recuerda,2015,No,2015,,,69,1,Motor,20,Minutos
212,H1286,2,11,RULO,ZONA 1,Independencia,JimanÌ,1.2575998,20,No,Permanente,Junio,2016,No,2016,,,43,0,Motor,5,Minutos
273,H1287,2,11,RULO,ZONA VI,Independencia,JimanÌ,1.8863997,30,No,Permanente,Septiembre,2016,S√≠,1975,,,56,0,Motor,15,Minutos
273,H1287,2,11,LIMON,ZONA VI,Independencia,JimanÌ,1.8863997,30,No,Permanente,Febrero,2017,S√≠,2017,,,56,0,Motor,15,Minutos
273,H1287,2,11,HABICHUELA NEGRA,ZONA VI,Independencia,JimanÌ,1.8863997,30,No,Temporero,Septiembre,2019,No,1975,Diciembre,2019,56,0,Motor,15,Minutos
271,H1288,2,11,LIMON,ZONA II,Independencia,JimanÌ,1.2575998,20,No,Permanente,Septiembre,2019,S√≠,2019,,,68,1,A pie,15,Minutos
271,H1288,2,11,MAIZ GRANO/MAZORCA,ZONA II,Independencia,JimanÌ,1.2575998,20,No,Temporero,Septiembre,2019,S√≠,2019,,,68,1,A pie,15,Minutos
207,H1292,2,11,LIMON,LA BOMBA V,Independencia,JimanÌ,3.1439996,50,No,Permanente,Agosto,2013,No,2013,,,51,0,Motor,10,Minutos
653,H1293,2,11,LIMON,ZONA I,Independencia,JimanÌ,0.94319987,15,No,Permanente,Abril,2016,No,2016,,,59,1,Motor,5,Minutos
209,H1295,2,11,LIMON,BOMBA 5 Y 6,Independencia,JimanÌ,2.2007997,35,No,Permanente,Mayo,2013,No,2013,,,50,0,Motor,5,Minutos
208,H1298,2,11,LIMON,LA BOMBA IV,Independencia,JimanÌ,2.2007997,35,No,Permanente,Febrero,2015,No,2015,,,34,0,Motor,5,Minutos
1111,H1393,2,11,MANGO,KM 8,Azua,Azua,2.2636797,36,No,Permanente,Abril,2002,No,2002,,,56,0,Motor,20,Minutos
1111,H1393,2,12,MANGO,KM 7,Azua,Azua,1.8863997,30,No,Permanente,Abril,2002,No,2002,,,56,0,Motor,15,Minutos
913,H1394,2,11,COCO,RECODO,Azua,Azua,1.8863997,30,No,Permanente,Octubre,2018,S√≠,1977,,,57,0,Motor,15,Minutos
913,H1394,2,11,GUINEO,RECODO,Azua,Azua,1.8863997,30,No,Permanente,Diciembre,2007,S√≠,1977,,,57,0,Motor,15,Minutos
516,H1463,2,11,TOMATE INDUSTRIAL,LATERAL 2,Azua,Sabana Yegua,3.7727995,60,No,Temporero,Noviembre,2019,No,1987,,,75,0,AutÛmovil,10,Minutos
943,H1464,2,11,PL√ÅTANO,EL ALTO,Azua,Las Yayas de Viajama,25.151997,400,No,Permanente,Julio,2019,S√≠,2019,,,45,0,A pie,3,Minutos
943,H1464,2,11,LIMON,EL ALTO,Azua,Las Yayas de Viajama,25.151997,400,No,Permanente,Junio,2019,S√≠,2019,,,45,0,A pie,3,Minutos
515,H1467,2,11,TOMATE INDUSTRIAL,D-3,Azua,Sabana Yegua,1.1318399,18,No,Temporero,Noviembre,2019,No,1988,,,65,0,Motor,1,Horas
77,H1504,2,11,CAF√â,LA CA—A,Azua,Las Yayas de Viajama,2.5151997,40,No,Permanente,Abril,1979,No,1979,,,57,0,Animal,1.3,Horas
77,H1504,2,11,GUANDUL,LA CA—A,Azua,Las Yayas de Viajama,2.5151997,40,No,Temporero,Abril,2019,No,1980,Diciembre,2019,57,0,Animal,1.3,Horas
77,H1504,2,11,AUYAMA,LA CA—A,Azua,Las Yayas de Viajama,2.5151997,40,No,Temporero,Abril,2019,No,1989,Septiembre,2019,57,0,Animal,1.3,Horas
77,H1504,2,11,AGUACATE,LA CA—A,Azua,Las Yayas de Viajama,2.5151997,40,No,Permanente,Abril,2018,No,1979,,,57,0,Animal,1.3,Horas
102,H1537,2,11,CHINOLA,LO SORIANO,Azua,Azua,37.727997,600,No,Permanente,Noviembre,2019,S√≠,2019,,,52,0,A pie,0,Minutos
102,H1537,2,11,PASTO,LO SORIANO,Azua,Azua,37.727997,600,No,Permanente,No recuerda,2011,No,2011,,,52,0,A pie,0,Minutos
102,H1537,2,11,LIMON,LO SORIANO,Azua,Azua,37.727997,600,No,Permanente,Abril,2017,S√≠,2017,,,52,0,A pie,0,Minutos
102,H1537,2,11,AUYAMA,LO SORIANO,Azua,Azua,37.727997,600,No,Temporero,Mayo,2019,No,2011,Noviembre,2019,52,0,A pie,0,Minutos
78,H1541,2,11,CAF√â,LA 11,Azua,Padre Las Casas,2.5151997,40,No,Permanente,Abril,2015,No,1985,,,49,0,Motor,15,Minutos
78,H1541,2,11,AGUACATE,LA 11,Azua,Padre Las Casas,2.5151997,40,No,Permanente,Abril,2005,No,2005,,,49,0,Motor,15,Minutos
78,H1541,2,12,GUANDUL,LA 12,Azua,Padre Las Casas,6.2879992,100,No,Temporero,Abril,2019,No,2006,Noviembre,2019,49,0,Motor,30,Minutos
525,H1544,2,11,LIMON,EL CIGUAL,Azua,Padre Las Casas,3.1439996,50,No,Permanente,Abril,2016,No,2016,,,75,0,AutÛmovil,20,Minutos
106,H1547,2,11,AGUACATE,LOS POZOS,Azua,Padre Las Casas,2.3894396,38,No,Permanente,Octubre,2003,S√≠,2003,,,71,0,Motor,25,Minutos
