,ID,patca,geometry,tStart,tEnd,tBreak,numObs
22,379211,1,"POLYGON ((-70.586753 18.505157, -70.586787 18.505352, -70.586883 18.505527, -70.587031 18.505666, -70.587217 18.505754, -70.587422 18.505783, -70.587626 18.505751, -70.58781 18.505659, -70.58795600000001 18.505518, -70.588048 18.505341, -70.58807899999999 18.505145, -70.58804499999999 18.50495, -70.58794899999999 18.504775, -70.587801 18.504636, -70.587615 18.504548, -70.58741000000001 18.504519, -70.58720599999999 18.504551, -70.587022 18.504643, -70.586876 18.504784, -70.58678399999999 18.504961, -70.586753 18.505157))",2011-01-01 15:01:56.470,2014-02-18 15:09:34.900,2014-02-27 15:03:15.290,52
22,379211,1,"POLYGON ((-70.586753 18.505157, -70.586787 18.505352, -70.586883 18.505527, -70.587031 18.505666, -70.587217 18.505754, -70.587422 18.505783, -70.587626 18.505751, -70.58781 18.505659, -70.58795600000001 18.505518, -70.588048 18.505341, -70.58807899999999 18.505145, -70.58804499999999 18.50495, -70.58794899999999 18.504775, -70.587801 18.504636, -70.587615 18.504548, -70.58741000000001 18.504519, -70.58720599999999 18.504551, -70.587022 18.504643, -70.586876 18.504784, -70.58678399999999 18.504961, -70.586753 18.505157))",2014-05-09 15:08:22.290,2019-12-26 15:02:49.962,,164
23,380711,0,"POLYGON ((-70.64255300000001 18.451284, -70.64258700000001 18.45148, -70.64268300000001 18.451655, -70.642831 18.451794, -70.643016 18.451882, -70.643221 18.451911, -70.64342600000001 18.451878, -70.64361 18.451787, -70.643755 18.451646, -70.64384800000001 18.451469, -70.643878 18.451273, -70.643844 18.451078, -70.643748 18.450902, -70.64360000000001 18.450764, -70.643415 18.450675, -70.643209 18.450646, -70.643005 18.450679, -70.642821 18.45077, -70.64267599999999 18.450912, -70.642583 18.451089, -70.64255300000001 18.451284))",2011-01-01 15:01:56.470,2015-04-26 15:08:03.960,2015-05-05 15:01:43.700,89
23,380711,0,"POLYGON ((-70.64255300000001 18.451284, -70.64258700000001 18.45148, -70.64268300000001 18.451655, -70.642831 18.451794, -70.643016 18.451882, -70.643221 18.451911, -70.64342600000001 18.451878, -70.64361 18.451787, -70.643755 18.451646, -70.64384800000001 18.451469, -70.643878 18.451273, -70.643844 18.451078, -70.643748 18.450902, -70.64360000000001 18.450764, -70.643415 18.450675, -70.643209 18.450646, -70.643005 18.450679, -70.642821 18.45077, -70.64267599999999 18.450912, -70.642583 18.451089, -70.64255300000001 18.451284))",2015-06-06 15:01:46.864,2019-12-26 15:02:49.962,,145
24,383211,1,"POLYGON ((-71.259182 18.882124, -71.25988 18.882165, -71.260991 18.882531, -71.261518 18.883084, -71.261647 18.881824, -71.26153600000001 18.881347, -71.260625 18.881408, -71.26034199999999 18.881441, -71.25994799999999 18.881426, -71.25861500000001 18.881332, -71.259182 18.882124))",2011-01-01 15:01:56.470,2019-12-17 15:09:03.062,,151
25,383711,1,"POLYGON ((-71.548348 18.775991, -71.548384 18.776186, -71.548481 18.776361, -71.54863 18.776499, -71.548816 18.776586, -71.54902199999999 18.776614, -71.549226 18.77658, -71.54940999999999 18.776488, -71.549554 18.776346, -71.549646 18.776169, -71.54967600000001 18.775973, -71.54964 18.775778, -71.549543 18.775603, -71.54939400000001 18.775465, -71.54920799999999 18.775378, -71.549002 18.77535, -71.54879800000001 18.775384, -71.548614 18.775476, -71.54846999999999 18.775618, -71.548378 18.775795, -71.548348 18.775991))",2011-01-01 15:01:56.470,2019-12-17 15:09:03.062,,143
26,384611,0,"POLYGON ((-71.51730999999999 18.925279, -71.51734500000001 18.925474, -71.517442 18.925649, -71.517591 18.925787, -71.51777800000001 18.925874, -71.517984 18.925902, -71.51818799999999 18.925868, -71.518372 18.925776, -71.518517 18.925634, -71.518609 18.925457, -71.518638 18.925261, -71.518603 18.925066, -71.518506 18.924891, -71.51835699999999 18.924753, -71.51817 18.924666, -71.517965 18.924638, -71.51776 18.924672, -71.51757600000001 18.924764, -71.517431 18.924906, -71.51734 18.925083, -71.51730999999999 18.925279))",2011-01-01 15:01:56.470,2019-12-17 15:09:03.062,,124
27,385011,1,"POLYGON ((-71.261691 18.943054, -71.261545 18.943325, -71.2616 18.94377, -71.26176700000001 18.944537, -71.262114 18.944563, -71.262344 18.943721, -71.26219399999999 18.942715, -71.26200900000001 18.942448, -71.26164 18.942475, -71.261691 18.943054))",2011-01-01 15:01:56.470,2012-10-18 15:04:32.150,2012-11-03 15:04:36.140,24
27,385011,1,"POLYGON ((-71.261691 18.943054, -71.261545 18.943325, -71.2616 18.94377, -71.26176700000001 18.944537, -71.262114 18.944563, -71.262344 18.943721, -71.26219399999999 18.942715, -71.26200900000001 18.942448, -71.26164 18.942475, -71.261691 18.943054))",2012-11-03 15:04:36.140,2019-12-01 15:09:04.969,2019-12-17 15:09:03.062,130
28,386111,1,"POLYGON ((-71.710278 18.887294, -71.710138 18.887706, -71.71031000000001 18.887943, -71.710401 18.88843, -71.71078 18.888505, -71.710605 18.887739, -71.710753 18.887148, -71.711113 18.886713, -71.71061899999999 18.88699, -71.710538 18.887171, -71.710278 18.887294))",2011-01-01 15:01:56.470,2013-03-11 15:04:54.120,2013-03-27 15:04:48.020,24
28,386111,1,"POLYGON ((-71.710278 18.887294, -71.710138 18.887706, -71.71031000000001 18.887943, -71.710401 18.88843, -71.71078 18.888505, -71.710605 18.887739, -71.710753 18.887148, -71.711113 18.886713, -71.71061899999999 18.88699, -71.710538 18.887171, -71.710278 18.887294))",2013-07-01 15:04:16.990,2019-12-17 15:09:03.062,,100
29,386511,1,"POLYGON ((-71.680742 18.877895, -71.68202100000001 18.877238, -71.68174500000001 18.877024, -71.681324 18.877248, -71.68110799999999 18.876877, -71.68048400000001 18.877205, -71.680742 18.877895))",2011-01-01 15:01:56.470,2014-08-05 15:06:24.990,2014-08-13 15:08:49.240,50
29,386511,1,"POLYGON ((-71.680742 18.877895, -71.68202100000001 18.877238, -71.68174500000001 18.877024, -71.681324 18.877248, -71.68110799999999 18.876877, -71.68048400000001 18.877205, -71.680742 18.877895))",2014-11-17 15:08:57.422,2017-05-01 15:08:02.420,2017-06-02 15:08:22.770,40
29,386511,1,"POLYGON ((-71.680742 18.877895, -71.68202100000001 18.877238, -71.68174500000001 18.877024, -71.681324 18.877248, -71.68110799999999 18.876877, -71.68048400000001 18.877205, -71.680742 18.877895))",2017-06-02 15:08:22.770,2018-12-30 15:08:38.260,2019-01-15 15:08:35.880,24
29,386511,1,"POLYGON ((-71.680742 18.877895, -71.68202100000001 18.877238, -71.68174500000001 18.877024, -71.681324 18.877248, -71.68110799999999 18.876877, -71.68048400000001 18.877205, -71.680742 18.877895))",2019-01-15 15:08:35.880,2019-12-17 15:09:03.062,,21
30,387011,0,"POLYGON ((-71.151444 18.819213, -71.151228 18.819535, -71.151533 18.819612, -71.152135 18.819994, -71.15232399999999 18.819552, -71.15225700000001 18.818879, -71.152243 18.818545, -71.151988 18.818328, -71.151661 18.818991, -71.151444 18.819213))",2011-01-01 15:01:56.470,2016-09-19 15:08:59.950,2016-10-21 15:09:06.520,86
30,387011,0,"POLYGON ((-71.151444 18.819213, -71.151228 18.819535, -71.151533 18.819612, -71.152135 18.819994, -71.15232399999999 18.819552, -71.15225700000001 18.818879, -71.152243 18.818545, -71.151988 18.818328, -71.151661 18.818991, -71.151444 18.819213))",2016-12-24 15:08:59.960,2019-12-17 15:09:03.062,,45
31,387411,1,"POLYGON ((-71.351885 18.667408, -71.352402 18.667726, -71.352582 18.667479, -71.352977 18.667639, -71.353286 18.667246, -71.352931 18.666965, -71.353255 18.666542, -71.35266799999999 18.66611, -71.351885 18.667408))",2011-01-01 15:01:56.470,2019-12-17 15:09:03.062,,148
32,388011,0,"POLYGON ((-71.563045 18.765644, -71.562996 18.765894, -71.562996 18.766031, -71.562934 18.766262, -71.56355499999999 18.766473, -71.56426999999999 18.765405, -71.564188 18.765172, -71.56282 18.764647, -71.563045 18.765644))",2011-01-01 15:01:56.470,2017-10-24 15:09:04.060,2017-11-09 15:09:02.210,99
32,388011,0,"POLYGON ((-71.563045 18.765644, -71.562996 18.765894, -71.562996 18.766031, -71.562934 18.766262, -71.56355499999999 18.766473, -71.56426999999999 18.765405, -71.564188 18.765172, -71.56282 18.764647, -71.563045 18.765644))",2017-11-25 15:08:56.459,2019-12-01 15:09:04.969,2019-12-17 15:09:03.062,30
33,388811,1,"POLYGON ((-71.341273 18.678483, -71.341308 18.678678, -71.34140499999999 18.678853, -71.341553 18.678991, -71.341739 18.679079, -71.341945 18.679107, -71.34214900000001 18.679074, -71.342333 18.678982, -71.342478 18.67884, -71.342569 18.678662, -71.34259900000001 18.678467, -71.342564 18.678272, -71.342467 18.678097, -71.342319 18.677959, -71.342133 18.677871, -71.341927 18.677843, -71.341723 18.677876, -71.341539 18.677968, -71.34139399999999 18.67811, -71.341303 18.678288, -71.341273 18.678483))",2011-01-01 15:01:56.470,2019-12-17 15:09:03.062,,148
34,388911,0,"POLYGON ((-71.25588399999999 18.886635, -71.25598100000001 18.886879, -71.25676199999999 18.887209, -71.257503 18.887704, -71.257453 18.88715, -71.257104 18.88689, -71.25690899999999 18.886647, -71.25588399999999 18.886635))",2011-01-01 15:01:56.470,2019-12-01 15:09:04.969,2019-12-17 15:09:03.062,135
35,389311,1,"POLYGON ((-71.12327399999999 18.798402, -71.12344 18.7985, -71.123734 18.798701, -71.124145 18.798042, -71.123949 18.797925, -71.12390000000001 18.797796, -71.123446 18.797471, -71.123149 18.79722, -71.122066 18.797422, -71.122122 18.797706, -71.121985 18.798002, -71.12284 18.798102, -71.12327399999999 18.798402))",2011-01-01 15:01:56.470,2014-03-06 15:09:19.970,2014-03-22 15:09:08.520,34
