cuest_id_b,cuest_id,time,parcela,cultivo,temporary_crop,age,gender,superf_parcela_has,Y,X,provparcela_cod,munparcela_cod,month_siembra,year_siembra,since_siembra,month_harvest,year_harvest,VP_HA,treat_status_fu,patca
2595,H1041,0. Baseline,11,,0,51,Male,6.6023993,19.418867,-71.32125499999999,santiago rodriguez,san ignacio de sabaneta,,,,,,1110.671997070313,0. Pure Control,0
2599,H1114,0. Baseline,11,pasto,0,65,Male,4.7159996,19.472845,-71.215907,santiago rodriguez,san ignacio de sabaneta,no recuerda,1972,no recuerda,,,0,0. Pure Control,0
2601,H1061,0. Baseline,11,pasto,0,38,Male,7.545599,19.475771,-71.20974099999999,santiago rodriguez,san ignacio de sabaneta,octubre,2008,2000,,,678.6566162109375,0. Pure Control,0
2602,H1063,0. Baseline,11,pasto,0,52,Male,4.4015994,19.478286,-71.214015,santiago rodriguez,san ignacio de sabaneta,no recuerda,2006,2006,,,1275.800598144531,0. Pure Control,0
2602,H1063,0. Baseline,12,pasto,0,52,Male,3.7099195,19.473605,-71.213437,santiago rodriguez,san ignacio de sabaneta,no recuerda,2006,2006,,,1275.800598144531,0. Pure Control,0
2603,H1102,0. Baseline,12,pasto,0,47,Male,5.2819195,19.332866,-71.20913299999999,santiago rodriguez,san ignacio de sabaneta,no recuerda,1995,1995,,,6032.50341796875,0. Pure Control,0
2603,H1102,0. Baseline,11,pasto,0,47,Male,.62879992,19.445791,-71.11199499999999,santiago rodriguez,san ignacio de sabaneta,no recuerda,1995,1995,,,6032.50341796875,0. Pure Control,0
2605,H1066,0. Baseline,11,yuca,1,48,Male,6.2879992,19.493365,-71.423236,santiago rodriguez,san ignacio de sabaneta,mayo,2011,2005,febrero,2012,807.924560546875,0. Pure Control,0
2605,H1066,0. Baseline,11,pasto,0,48,Male,6.2879992,19.493365,-71.423236,santiago rodriguez,san ignacio de sabaneta,no recuerda,2002,2002,,,807.924560546875,0. Pure Control,0
2605,H1066,0. Baseline,12,pasto,0,48,Male,3.7727995,19.487918,-71.424671,santiago rodriguez,san ignacio de sabaneta,no recuerda,2006,2002,,,807.924560546875,0. Pure Control,0
2607,H1067,0. Baseline,11,pasto,0,45,Male,3.1439996,19.482272,-71.425414,santiago rodriguez,san ignacio de sabaneta,no recuerda,1995,1980,,,2111.376220703125,0. Pure Control,0
2607,H1067,0. Baseline,12,pasto,0,45,Male,7.7971191,19.482215,-71.42533,santiago rodriguez,san ignacio de sabaneta,no recuerda,1990,1980,,,2111.376220703125,0. Pure Control,0
2607,H1067,0. Baseline,13,yuca,1,45,Male,14.462399,19.532284,-71.443746,santiago rodriguez,san ignacio de sabaneta,marzo,2011,2000,octubre,2011,2111.376220703125,0. Pure Control,0
2607,H1067,0. Baseline,13,pasto,0,45,Male,14.462399,19.532284,-71.443746,santiago rodriguez,san ignacio de sabaneta,no recuerda,2010,1980,,,2111.376220703125,0. Pure Control,0
2607,H1067,0. Baseline,14,pasto,0,45,Male,2.3894396,19.552672,-71.462889,santiago rodriguez,san ignacio de sabaneta,no recuerda,1980,1980,,,2111.376220703125,0. Pure Control,0
2608,H1042,0. Baseline,11,pasto,0,28,Male,5.7849593,19.506827,-71.36631199999999,santiago rodriguez,san ignacio de sabaneta,no recuerda,2006,2005,,,0,0. Pure Control,0
2609,H1065,0. Baseline,11,pasto,0,50,Male,6.2879992,19.498146,-71.45414,santiago rodriguez,san ignacio de sabaneta,marzo,2008,2000,,,0,0. Pure Control,0
2612,H1053,0. Baseline,11,yuca,1,56,Male,6.2879992,19.468135,-71.282214,santiago rodriguez,san ignacio de sabaneta,marzo,2011,2000,noviembre,2011,1508.125854492188,0. Pure Control,0
2612,H1053,0. Baseline,11,pasto,0,56,Male,6.2879992,19.468135,-71.282214,santiago rodriguez,san ignacio de sabaneta,no recuerda,2000,2000,,,1508.125854492188,0. Pure Control,0
2616,H1090,0. Baseline,12,,0,46,Male,9.4319992,19.33749,-71.484931,santiago rodriguez,san ignacio de sabaneta,,,,,,0,0. Pure Control,0
2616,H1090,0. Baseline,11,,0,46,Male,3.7727995,19.387783,-71.156178,santiago rodriguez,san ignacio de sabaneta,,,,,,0,0. Pure Control,0
2617,H1055,0. Baseline,11,yuca,1,69,Male,4.4015994,19.526609,-71.312923,santiago rodriguez,san ignacio de sabaneta,marzo,2011,1990,noviembre,2011,754.0629272460938,0. Pure Control,0
2617,H1055,0. Baseline,12,pasto,0,69,Male,1.7606398,19.528481,-71.308696,santiago rodriguez,san ignacio de sabaneta,no recuerda,1990,1990,,,754.0629272460938,0. Pure Control,0
2617,H1055,0. Baseline,11,pasto,0,69,Male,4.4015994,19.526609,-71.312923,santiago rodriguez,san ignacio de sabaneta,no recuerda,1990,1990,,,754.0629272460938,0. Pure Control,0
2617,H1055,0. Baseline,13,pasto,0,69,Male,1.8863997,19.526552,-71.312954,santiago rodriguez,san ignacio de sabaneta,no recuerda,2000,1990,,,754.0629272460938,0. Pure Control,0
2624,H1073,0. Baseline,13,pasto,0,60,Male,4.4015994,19.460772,-71.280787,santiago rodriguez,san ignacio de sabaneta,mayo,1978,1970,,,0,0. Pure Control,0
2624,H1073,0. Baseline,14,pasto,0,60,Male,4.4015994,19.460976,-71.27410500000001,santiago rodriguez,san ignacio de sabaneta,mayo,2002,1970,,,0,0. Pure Control,0
2624,H1073,0. Baseline,11,pasto,0,60,Male,7.545599,19.460601,-71.277147,santiago rodriguez,san ignacio de sabaneta,mayo,2000,1970,,,0,0. Pure Control,0
