cuest_id_b,parcela,cultivo,temporary_,superf_par,Y,X,patca,correccion,corregido,corregido2,area
"3266","11",plátano,"0",3.206879600000000,19.390644000000002,-70.598162000000002,"1","Punto sobre la vía, mover hacía arriba","se movió hacía arriba,  la zona de influencia contiene árboles","ok, arboles",15143.364
"3296","11",plátano,"0",0.943199870000000,19.840520999999999,-71.020904999999999,"0","Punto sobre la vía, mover hacía arriba",mover hacía arriba y a la izquierda,ok,8961.414
"3312","11",tabaco,"1",1.886399700000000,19.812873000000000,-70.957018000000019,"1",centrar hacia el cultivo,"se movió hacia la izquierda, la zona de influencia contiene edificaciones",ok,14161.303
"3314","11",plátano,"0",1.571999800000000,19.843330999999999,-71.033220000000000,"1","Punto sobre la copa de un árbol, mover hacía la izquierda y arriba",se movió hacía la izquierda y arriba,ok,7174.461
"3324","11",plátano,"0",0.377279940000000,19.816217999999999,-70.992679999999979,"1","Punto sobre la vía, mover hacía abajo","se movió hacia abajo y a la izquierda, la zona de influencia contiene edificaciones","ok, edificacion",7359.460
"3327","11",plátano,"0",5.030399299999999,19.848060999999998,-71.048096999999999,"1",Centrar hacía abajo,se movió hacia abajo y a la izquierda,ok,16173.254
"3345","11",plátano,"0",1.886399700000000,19.384170000000001,-70.488172000000020,"0","Punto sobre copa de árbol, podría moverse hacía arriba o abajo","se movió hacia abajo, la zona de influencia contiene edificaciones",ok,11517.919
"3350","12",plátano,"0",1.886399700000000,19.793445000000002,-71.013728999999998,"0",Revisar área y tipo de cultivo,se movió hacia abajo y a la derecha,ok,15137.304
"3374","12",plátano,"0",0.943199870000000,19.428423000000002,-70.607866000000001,"0","Punto sobre la vía, podria moverse hacia abajo o arriba","se movió hacia abajo, la zona de influenciacontiene edificaciones","ok, arboles edificaciones",13596.860
"3558","11",yuca,"1",1.257599800000000,18.394247000000000,-71.624122000000000,"0",Revisar el tipo de cultivo,Revisar el tipo de cultivo,ok,15125.198
"389","11",mango,"0",1.697759700000000,18.291665999999999,-70.325005000000004,"0",mover hacia el centro del cultivo y revisar el área,Se movió hacia la izquierda,ok,15146.586
"393","11",mango,"0",4.401599400000000,18.229545999999999,-70.459126999999995,"0",mover hacia el centro del cultivo,Se movió hacia abajo,ok,14407.398
"466","11",cero,"0",2.483759600000000,18.218817000000001,-70.496775999999997,"0",revisar área,ok,ok,5979.754
"544","11",mango,"0",5.596319200000000,18.404163000000000,-70.294353000000001,"0",revisar área,ok,ok,15146.958
"568","11",mango,"0",3.584159600000000,18.219846000000000,-70.486276000000004,"0",mover hacia el centro del cultivo y revisar el área,ok,ok,15144.712
"793","11",cero,"0",1.571999800000000,19.728776999999997,-71.601698999999996,"0",ok,ok,ok,15126.119
"793","12",cero,"0",1.571999800000000,19.729422000000000,-71.587029000000001,"0",revisa área,ok,ok,15126.414
"1316","11",cero,"0",1.571999800000000,18.859095999999997,-70.365789000000007,"0",revisar área,Se movió hacia la derecha,ok,15146.184
"1324","21",cero,"0",2.200799700000000,19.116395999999998,-70.607173000000003,"0",mover hacia el centro del cultivo y revisar el área,Se movió hacia abajo,"ok, arboles",15143.256
"2239","11",guineo,"0",20.121597000000001,19.564008999999999,-70.939190999999980,"0",mover hacia el centro del cultivo y revisar área,Se movió hacia la derecha,ok,14557.005
"2252","11",guineo,"0",1.886399700000000,19.800418000000001,-71.579887999999997,"0",mover hacia el centro del cultivo,ok,ok,15126.588
"2265","13",cero,"0",22.007998000000001,19.556744000000002,-71.398030000000020,"0",revisar área,Se movio hacia la izquierda y arriba,ok,14590.850
"2265","12",cero,"0",2.263679700000000,19.548610000000000,-71.404580999999979,"0",el punto esta sobre la vía mover hacia la izquierda,Se movió hacia la izquierda,ok,17404.974
"2515","11",cero,"0",1.194719800000000,19.619651000000001,-71.235930000000010,"0",mover hacia el centro del cultivo,Se movió hacia la derecha,ok,12362.612
"2581","21",guineo,"0",3.143999600000000,19.565906999999999,-70.944793000000004,"0",zona de influencia contiene edificaciones,Se movió hacia abajo,ok,10270.737
"2594","12",cero,"0",1.006079900000000,19.454463000000001,-71.326059000000001,"0",el punto esta sobre la vía mover hacia la izquierda,Se movió hacia la izquierda y hacia abajo,ok,27981.986
"2595","11",cero,"0",6.602399300000000,19.418867000000002,-71.321254999999979,"0",mover hacia el centro del cultivo y revisar el área,Se movió hacia la derecha,ok,14433.927
"2616","12",cero,"0",9.431999200000000,19.337489999999999,-71.484931000000003,"0",mover hacia el centro del cultivo y revisar el área,Se movió hacia la derecha,"ok, arbustos",12333.740
"2616","11",cero,"0",3.772799500000000,19.387782999999999,-71.156177999999997,"0",revisar área,ok,"ok, arboles",15134.742
"2627","12",cero,"0",30.182396000000001,19.509325000000000,-71.284889000000021,"0",mover hacia el centro del cultivo y revisar el área,Se movió hacia la izquierda y arriab,"ok, arboles",15132.419
"2627","14",cero,"0",20.121597000000001,19.508157000000001,-71.285128999999998,"0",mover hacia el centro del cultivo y revisar el área,Se movió hacia la izquierda y arriba,"ok, arboles",15132.385
"2643","11",cero,"0",3.143999600000000,19.425139000000001,-71.378454000000005,"0",mover hacia el centro del cultivo y revisar el área,Se movió haacia la derecha,"ok, arboles",15130.617
"2647","11",maiz grano/mazorca,"1",16.348799000000000,19.458710999999997,-71.276510000000002,"0","el punto esta sobre la copa de un árbol, mover hacia el centro del cultivo y revisar el área",Se movió hacia arriba y derecha,ok,25898.298
"2688","11",maiz grano/mazorca,"1",6.287999200000000,19.458362000000001,-71.313852999999980,"0",el punto esta sobre la vía mover hacia la izquierda,Se movió hacia la izquierda,ok,14640.046
"2702","11",guandul,"1",1.571999800000000,19.502600000000001,-71.465767000000000,"0","punto sobre la vía, mover hacia la derecha",Se movió hacia la derecha,ok,15128.889
"2911","11",cero,"0",0.943199870000000,19.786821000000000,-71.622346999999991,"0",mover hacia la derecha,Se movió hacia la derecha,ok,8491.215
"2920","21",guineo,"0",1.886399700000000,19.656112000000000,-71.027330000000021,"0","el punto esta sobre un predio, mover hacia el centro del cultivo y revisar área",Se movió hacia la derecha y arriba,ok,22046.479
"3055","12",cero,"0",0.503039960000000,19.428364999999999,-70.617024999999998,"1",mover hacia el centro del cultivo y revisar el área,Se moció hacia abajo,ok,6503.316
"3066","11",habichuela negra,"1",1.320479900000000,19.511011000000000,-70.698916999999980,"0",mover hacia el centro del cultivo,Se movió hacia arriba,"ok, arboles revisar tipo de cultivo",10268.384
"3071","21",chinola,"0",5.030399299999999,19.489452000000000,-70.669651999999999,"0",mover hacia el centro del cultivo y revisar el área,Se movió hacia la izquierda,ok,10272.564
"3088","11",cero,"0",1.257599800000000,19.394107999999999,-70.557458999999980,"0","esta sobre la vía, mover hacia la derecha",Se movió hacia la derecha,ok,16524.254
"3090","11",cero,"0",2.829599600000000,19.526313000000002,-70.804148999999995,"1",revisar área,Se movió hacia arriba,ok,10792.127
